Date,Open,High,Low,Close ,Adj Close ,Currency,Volume
18-Dec-23,124.37,125.98,123.9,125.92,118.64,USD,1566100
15-Dec-23,124.68,125.13,123.58,123.74,116.58,USD,8909600
14-Dec-23,122.67,124.68,122.61,124.37,117.18,USD,2575800
13-Dec-23,119.01,122.05,118.18,121.99,114.93,USD,4008400
12-Dec-23,119.16,119.41,118.55,119.13,112.24,USD,1474200
11-Dec-23,118.85,119.47,117.92,119.26,112.36,USD,1882100
8-Dec-23,116.98,118.86,116.5,118.5,111.65,USD,2724700
7-Dec-23,117.21,117.42,116.05,117,110.23,USD,1666200
6-Dec-23,116.32,117.63,116.17,116.71,109.96,USD,3226800
5-Dec-23,114,116.09,113.92,115.76,109.06,USD,2993600
4-Dec-23,112.95,114.75,112.89,114.23,107.62,USD,1519100
1-Dec-23,110.65,113.97,109.76,113.66,107.09,USD,3283900
30-Nov-23,111,112.02,110.38,111.38,104.94,USD,3729700
29-Nov-23,108.5,110.59,108.32,110.1,103.73,USD,2451900
28-Nov-23,108.93,109,107.16,108.47,102.2,USD,2465800
27-Nov-23,110.33,110.51,109.68,109.75,103.4,USD,2031100
24-Nov-23,110.21,111.42,109.84,110.33,103.95,USD,1976100
23-Nov-23,110.23,111.36,110.15,110.21,103.84,USD,842100
22-Nov-23,110.65,111.81,109.92,110.43,104.04,USD,2371000
21-Nov-23,111.18,112.08,110.68,110.68,104.28,USD,2249800
20-Nov-23,112.22,112.28,111.4,111.68,105.22,USD,864600
17-Nov-23,111.5,112.49,111.49,112.03,105.55,USD,1273600
16-Nov-23,111.26,111.42,110.44,111.05,104.63,USD,991900
15-Nov-23,110.67,111.69,110.61,111.12,104.69,USD,1861800
14-Nov-23,109.31,110.71,109.28,110.2,103.83,USD,2271000
13-Nov-23,107.23,108.33,106.75,107.74,101.51,USD,1891700
10-Nov-23,107,107.54,106.4,107.32,101.11,USD,1701000
9-Nov-23,107.12,108.19,106.83,106.96,100.77,USD,1179700
8-Nov-23,107.25,107.91,106.7,106.78,100.6,USD,1399600
7-Nov-23,108.18,108.32,107.38,107.64,101.41,USD,1534000
6-Nov-23,109.75,110.39,108.22,108.6,102.32,USD,2071600
3-Nov-23,109,110.26,108.68,109.49,103.16,USD,1970300
2-Nov-23,105.32,108.21,105.31,107.95,101.71,USD,2092000
1-Nov-23,105,105.33,103.4,104.81,98.75,USD,2182900
31-Oct-23,105.18,105.41,103.98,104.79,98.73,USD,4676200
30-Oct-23,103.5,104.88,103.5,104.53,98.48,USD,2401100
27-Oct-23,1.47 Dividend,,,,,USD,
27-Oct-23,104.87,105.1,102.67,102.94,96.99,USD,1686000
26-Oct-23,104.68,106.86,104.68,106.06,98.54,USD,3441800
25-Oct-23,104.5,105.94,104.22,104.77,97.34,USD,3096100
24-Oct-23,106,106.2,104.38,104.98,97.54,USD,2327300
23-Oct-23,105.05,107.36,105.05,106.07,98.55,USD,4775700
20-Oct-23,108.1,108.5,106.26,106.27,98.74,USD,1869900
19-Oct-23,109.18,110.08,108.39,108.44,100.75,USD,2086400
18-Oct-23,111.25,111.47,109.36,109.44,101.68,USD,1597900
17-Oct-23,111.18,112.49,111.06,112,104.06,USD,817000
16-Oct-23,110.82,111.75,109.86,111.72,103.8,USD,1253200
13-Oct-23,111.7,112.36,109.96,110.01,102.21,USD,1243800
12-Oct-23,112.31,112.5,110.62,111.3,103.41,USD,1198900
11-Oct-23,111.5,112.63,111.02,112.1,104.15,USD,3256600
10-Oct-23,110.45,111.89,110.42,111.2,103.32,USD,8311000
6-Oct-23,110.07,110.94,108.12,110.77,102.92,USD,1463400
5-Oct-23,110.13,110.87,109.7,110.81,102.95,USD,1552700
4-Oct-23,109.8,110.35,108.12,110.25,102.43,USD,1502500
3-Oct-23,110.87,111.29,109.64,109.84,102.05,USD,1785300
2-Oct-23,114.3,114.48,111.59,111.64,103.72,USD,2729700
29-Sep-23,115.21,115.76,114.13,114.58,106.46,USD,1147500
28-Sep-23,113.29,114.97,113.19,114.68,106.55,USD,1054300
27-Sep-23,115.02,115.09,112.89,113.28,105.25,USD,1738400
26-Sep-23,115.07,115.57,114.13,114.61,106.48,USD,1694700
